"","SRTe","SRTu","Env","Replicate","predTu1","predTe1","predTu2","predTe2","predTu1_L","predTe1_L","predTu2_L","predTe2_L","predTu1_U","predTe1_U","predTu2_U","predTe2_U","TeRatio","TeRatio_L","TeRatio_U"
"1","SR4","SR1","N","1",8.76515203505319,14.234359629619,8.01698843950939,21.8439815897244,5.32999853230186,6.59111617521979,4.76028805883022,7.70432924507883,14.1061988966671,29.2928261585756,23.0839047005057,157.80151168516,0.731522839624407,0.618095931646667,0.872383826392678
"2","SR4","SR1","N","2",11.7080731466845,9.43599500585001,22.1455816155506,4.57394968365377,7.38140075774063,1.58688758121958,9.94787892528947,0.267380321083106,18.2660916973175,50.2178434594285,229.198640207315,6370.10647209312,0.171183754401784,0.0261745996488588,0.965269276642459
"3","SR4","SR1","N","3",8.00535900657276,30.493164327921,1.6246237205076,103.293050865123,4.97550687206637,13.5278716586277,2.17766538823026,22.197428011699,12.5902420292621,65.3002606009041,1.50693577549033,5082.34485749778,0.984515252297346,0.910660223839939,0.999703583850048
"4","SR4","SR1","N","4",7.93907190513082,15.7934268397985,6.00595575426934,22.1607736353713,5.2443458814423,7.58942341351094,4.19503057757161,9.0638567690389,11.8211018013875,31.4644355494639,11.5636468728794,107.914412522356,0.786771276452201,0.683606137686657,0.903215310564873
"5","SR4","SR1","N","5",14.1177977940715,15.2674946343266,26.7685717904188,14.6289853521936,8.28219606890584,7.75107689673179,9.82257075267151,6.74002888790252,23.5058768195697,28.9006303079198,179.096230033529,71.521800117952,0.35337798560909,0.406942692220321,0.285381702484543
"6","SR4","SR1","Cd","1",6.16128200306824,11.7055508782868,5.45938949582672,20.1860759462453,4.92433475629247,7.18674905710785,3.97389417077009,8.4119598735208,7.66327076865991,18.737703611059,8.0657108677163,62.5168774605148,0.787120670195736,0.679158646908018,0.885726620987485
"7","SR4","SR1","Cd","2",6.769056631119,11.0601513240369,7.78003974273948,22.1282075879211,5.4710127515773,7.42757716010291,4.92603722962393,9.04073036056273,8.34994701992209,16.1935553774265,14.5367859366832,67.2335565724737,0.739869753759735,0.647302985618156,0.822224225915951
"8","SR4","SR1","Cd","3",6.86555751104629,8.33293770833262,7.9330934492025,10.8800203620753,5.0062269173643,5.66029675190278,4.29100871809779,5.79466977077205,9.32364337965299,12.0994004049215,17.6196651338987,24.2896405426239,0.578321083432405,0.574544367755409,0.579576305322349
"9","SR4","SR1","Cd","4",6.72862455712444,14.5633472394919,7.12888866358537,41.4657170707383,5.53964619085053,10.1168659409265,4.76826430337333,16.4482829556807,8.14378147294324,20.7564207865938,12.2483405681294,138.827930291558,0.853298765246488,0.775257291153323,0.918926112628865
"10","SR4","SR1","Cd","5",5.96309154779046,9.78381692748199,5.22751384859568,14.7578585305712,4.55299047523182,6.74045961405436,3.51449607253788,7.50592573009815,7.73692200942408,14.0369838791431,8.43557222241064,34.4678567797505,0.738433002427068,0.681092417742375,0.803382330536198
"11","SR4","SR2","N","1",11.6056976697054,19.8925540991846,20.3783279801839,39.2753769069659,7.82878395044439,9.35362986883896,8.95139826426817,10.0936920898947,16.9547915403846,40.3130157216666,100.776995891664,593.607690940527,0.658389566603873,0.529989194180349,0.854868637222671
"12","SR4","SR2","N","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","SR4","SR2","N","3",13.4177075692792,36.8160552829601,6.68710695758841,123.726729019717,7.79559983551159,15.8017441347253,4.37651007268084,20.2301287759467,22.5670857863899,81.4908564320363,46.4280308084236,21285.6351015141,0.948723945527129,0.822141085598737,0.997823556468944
"14","SR4","SR2","N","4",8.11972159112301,18.8675597524239,5.29629926355355,28.478585023244,4.9695723760695,9.07175313291224,3.54065137166825,11.3371835931242,13.0054117574519,37.5678401033798,13.5217999042593,171.836803135616,0.843188233641888,0.762018372965758,0.927050594455816
"15","SR4","SR2","N","5",7.95955530102788,12.9682594217733,5.92051490622102,17.5881718450627,5.49746961097939,6.65750097895089,4.87583332446772,7.53388659374595,11.3553720608737,24.276492999574,7.3361600993324,70.2171796901653,0.748156289253473,0.607095618869569,0.905404975217768
"16","SR4","SR2","Cd","1",6.55406433218414,9.52953662752127,6.55539694027025,13.8303113482674,4.81459712078153,5.93154074375544,4.12885627962758,6.29758763756811,8.82810750715157,15.0466971955252,12.2036207903125,38.6203949988311,0.678431730333541,0.60400148771547,0.759884759186634
"18","SR4","SR2","Cd","3",6.49076759517355,13.5720985923493,5.6204724695621,29.4921755691913,5.33807719616049,8.83382708982082,4.35432619032631,11.8834393759064,7.86976862689123,20.5660977806753,7.93900965830827,100.055969592532,0.839930259222863,0.731839570378983,0.926487233819748
"19","SR4","SR2","Cd","4",7.40956756584247,9.79283301212083,9.27547418714872,16.604837853335,5.84952034935431,6.94397913227498,5.66175516087098,8.03372691929147,9.33144659959763,13.6736463430028,17.2992357685556,41.5703829089213,0.641601145587449,0.586596869848643,0.706143233858347
"20","SR4","SR2","Cd","5",8.28008962967841,9.06203390704706,11.2586826295476,12.7592409959755,6.058889630369,6.05367881469477,6.10548021545948,6.08325074385866,11.2466919998514,13.4084527878226,26.0148575472095,33.9923895133027,0.53123830331514,0.499088113780056,0.56647140434595
"21","SR5","SR1","N","1",8.5311569166223,16.8910766537318,6.58269920617834,25.9295634844844,5.44090293892947,8.35891344227875,4.35263474212791,10.2093255847715,13.0907059401094,32.8297453538132,14.3573861627171,144.286377418661,0.797531803036617,0.701095550020998,0.909499208550027
"22","SR5","SR1","N","2",13.7729843275064,3.35855883130194,28.6405045181669,0.160695901317509,8.54792765822005,0.712027481333273,11.6186948653721,0.0293925440063611,21.827743065403,14.6973700073736,181.888686111546,5.14876684763955,0.00557948623588605,0.00252337941615167,0.0275279991583455
"23","SR5","SR1","N","3",8.23340905969402,18.2962393732941,4.22702924293361,28.2911537453848,5.23785713751503,8.41083273529526,3.97561382927555,9.9657127426836,12.650728064556,37.6973422947878,5.00320233395302,205.059031394953,0.870010287953294,0.714832458105393,0.976182285386864
"24","SR5","SR1","N","4",7.52287430785618,14.2623766735008,5.4804894605233,19.0551651228358,5.19654767330783,6.87161092553505,4.35897220807379,7.99330527577679,10.7118013269376,28.2744506128128,7.20342782395297,80.8264848869322,0.776631618206741,0.647111861454479,0.918170680827425
"25","SR5","SR1","N","5",17.1987346627803,10.6272308970419,58.0497004177651,3.50630690757424,10.3076838047876,5.38705196085697,17.0367570762748,2.46365937060177,28.029797088082,20.1979494868734,506.597052123435,8.06042308090313,0.056961246512343,0.126338808061526,0.0156617235136881
"26","SR5","SR1","Cd","1",6.52022951244008,9.39430946278151,6.67623538979428,12.1673643444454,5.13404087675959,5.9127478198174,4.49355373639363,6.20494707044805,8.23163319281316,14.6270127152391,11.0442816340294,28.3215866068809,0.645702759347872,0.579982857643007,0.719445242095491
"27","SR5","SR1","Cd","2",6.64335969450068,7.01687370175193,7.36290171995867,7.90388039206038,5.59155191000178,4.42079307938255,5.30317882069727,3.52320180259345,7.86934028478473,10.7421203352261,11.0243962235378,19.7733056108606,0.517717508120975,0.399167218474191,0.642038348094387
"28","SR5","SR1","Cd","3",6.87614676292287,7.22347139709336,7.89248949404001,8.07226271976387,5.10666502235337,5.30506902771534,4.46845721714606,5.10213575887666,9.16848270999431,9.69903231594238,15.6777491071784,13.5977884365353,0.505630316816581,0.533105500532629,0.464476131863721
"29","SR5","SR1","Cd","4",6.42161495741738,8.20635489917965,6.64956329831045,10.2454244930978,5.22737239088654,5.28139010481605,4.70168779103907,5.1515613501051,7.86068928777609,12.5507626595432,10.4123951869938,24.0319737158837,0.606417987369483,0.522828690953703,0.697703992883321
"30","SR5","SR1","Cd","5",8.57497253158107,10.2700581455126,12.9762133066392,13.5940642183363,6.27767838743177,6.45203908814482,6.51884434476357,6.62603510710444,11.6034843176552,16.0537607299417,34.7464526544694,35.1727839464926,0.511626730490797,0.504077282060036,0.503048741038581
"31","SR5","SR2","N","1",10.3684280984092,12.8578295172653,15.4147110697893,13.0872798801024,6.94590740435493,6.1817665545283,7.92434840655209,5.43454247676587,15.2525026074853,25.723224157864,46.8643585719546,60.3766486225524,0.459170726112104,0.406810904006432,0.562999641667343
"32","SR5","SR2","N","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","SR5","SR2","N","3",14.6930080345539,25.860773624412,16.1084108604484,53.2711972818576,8.59222922882726,11.599423300262,7.53898826890397,12.7484932124143,24.5518346148401,54.610064557338,129.457219305064,1428.07268922853,0.767822112407898,0.628392105947392,0.916882996213571
"34","SR5","SR2","N","4",8.29974545859365,15.2069462824627,6.71507765979372,19.7878011203349,5.12807116120894,7.51231762480958,4.23314727671707,8.94588704945587,13.1685013762508,29.4021449461236,16.4006523251433,81.6337251325183,0.74662836760101,0.678796854765736,0.832705090291145
"35","SR5","SR2","N","5",15.7515641684705,12.9213113816461,39.4181729591887,7.85852828302935,10.6490985977497,6.65118751359485,14.7853549927985,3.75642105913559,22.9573165386218,24.184226746432,223.008618831923,31.7410661831653,0.166224124707155,0.202592300145043,0.124597077249714
"36","SR5","SR2","Cd","1",6.28267082113549,10.6255119030041,5.7767069029299,14.8676294668789,4.64772092539399,6.44388676327828,3.79575282494575,7.16200315206577,8.40339414152795,17.1698734789674,10.2464398188127,39.1742856333342,0.720179578580302,0.653601263533435,0.792669174216512
"38","SR5","SR2","Cd","3",6.56947676722682,9.7275212980062,6.44268157458106,14.2401120149156,5.43205402761093,6.62865731405667,4.90810289014307,7.19627261558891,7.92231628675261,14.0768779024378,9.02349903125402,32.3297912361139,0.688500417184802,0.594518289041937,0.781794895329659
"39","SR5","SR2","Cd","4",8.18847152839534,11.8838000408551,12.5885965303487,19.9250759571026,6.00125822722986,7.56994118874705,5.94967538759674,8.73836714283311,11.1082815362774,18.3626746909872,38.9835735085435,62.7350570951528,0.612821451184658,0.594930680839837,0.61675090121468
"40","SR5","SR2","Cd","5",9.05614293291209,11.079893480416,14.2211185274152,15.6651441536002,6.60373595602486,6.99810306003459,7.09002265332434,7.43718184577177,12.3436785641542,17.227363091399,39.4709520441274,42.6968416997349,0.524158685239394,0.511948589023753,0.519629890913607
